# flightline, latitude_mean, longitude_mean, elevation_mean, latitude_stdev, longitude_stdev, elevation_stdev, cloud_fraction, ndvi_mean, ndvi_stdev, dimensionality
ang20190713t002123 70.64988708 -157.52493286 14.26844978 0.00695674 0.02341307 2.87603903 0.00000000 0.43579584 0.49129727 21
ang20190707t230232 67.13257599 -162.30697632 28.55529404 0.00786702 0.01950363 17.70030594 0.00000000 0.83792073 0.27104801 26
ang20190707t230232 67.21697235 -162.43710327 62.53997421 0.00720762 0.01940385 42.64364243 0.00000000 0.80240256 0.33384180 29
ang20190707t230232 67.17974091 -162.37344360 39.45011520 0.00787038 0.01959265 37.65656281 0.00000000 0.87206513 0.16687833 57
ang20190707t230232 67.30206299 -162.56903076 45.16260910 0.00805756 0.01980023 41.90403366 0.00000000 0.81627846 0.14097923 31
ang20190707t230232 67.25489807 -162.50106812 124.50172424 0.00774879 0.01975733 64.98448944 0.00000000 0.75359851 0.20964783 44
ang20190707t230232 67.42322540 -162.75808716 9.75727558 0.00788939 0.02012479 3.44434094 0.00000000 0.76827854 0.31573269 33
ang20190707t230232 67.37767792 -162.70141602 9.87409878 0.00736177 0.02027837 2.15058446 0.00000000 0.74235946 0.41173533 27
ang20190707t230232 67.50054932 -162.88772583 14.70732021 0.00721944 0.02109413 4.37846804 0.00000000 0.84307951 0.19873723 30
ang20190707t230232 67.45866394 -162.83489990 12.12084293 0.00738226 0.02061544 5.87607765 0.00000000 0.65069681 0.44001997 28
ang20190707t230232 67.33779907 -162.62951660 12.45573902 0.00725413 0.01967024 2.21571875 0.00000000 0.81661999 0.06111478 48
ang20190707t230232 67.01018524 -162.12011719 2.36482954 0.00792479 0.01946591 6.84726381 0.00000000 -0.38300219 0.45708147 74
ang20190707t230232 67.05733490 -162.17820740 16.73568153 0.00775570 0.01962994 5.82051754 0.00000000 0.81749165 0.26170757 26
ang20190707t230232 67.09517670 -162.24636841 56.46923828 0.00716939 0.01960244 18.66627121 0.00000000 0.89832932 0.03928964 40
ang20190707t230232 67.07136536 -162.22058105 31.15580559 0.00791804 0.02096598 19.65472603 0.00000000 0.89648020 0.11308172 31
ang20190707t230232 67.11862183 -162.26792908 47.92924118 0.00784765 0.02106465 19.30351067 0.00000000 0.89562756 0.03092099 31
ang20190707t230232 67.03453827 -162.14050293 25.73691368 0.00714533 0.02108932 8.00799942 0.00000000 0.86953479 0.14215583 32
ang20190707t230232 67.15592194 -162.34906006 36.10144043 0.00720790 0.02125053 47.88375092 0.00000000 0.45901933 0.60317659 33
ang20190707t230232 67.31629944 -162.60748291 11.64482212 0.00753537 0.02117898 2.52356482 0.00000000 0.69798917 0.27523598 28
ang20190707t230232 67.27765656 -162.52626038 148.87057495 0.00716371 0.02131935 53.00224686 0.00000000 0.75461388 0.22599198 42
ang20190707t230232 67.24097443 -162.47770691 114.77006531 0.00789267 0.02140600 91.08759308 0.00000000 0.79391748 0.25766617 37
ang20190707t230232 67.19376373 -162.39614868 57.15186310 0.00779814 0.02122488 24.40836525 0.00000000 0.90239424 0.06732366 26
ang20190707t230232 67.51900482 -162.92459106 15.40030670 0.00753473 0.02019894 5.34380913 0.00000000 0.84499812 0.23751861 17
ang20190707t230232 67.48374176 -162.86653137 12.22071934 0.00772347 0.02035985 2.86069489 0.00000000 0.83712989 0.14936824 27
ang20190707t230232 67.43903351 -162.78981018 10.25925350 0.00730174 0.02067311 3.12062192 0.00000000 0.51845294 0.57093930 32
ang20190707t230232 67.39829254 -162.73728943 9.98075771 0.00733662 0.02105355 2.06152582 0.00000000 0.54974884 0.57118219 23
ang20190707t230232 67.36264038 -162.65682983 11.47697544 0.00790241 0.02118578 2.66586924 0.00000000 0.88094288 0.12630802 46
ang20190802t222542 69.16390991 -104.28385925 25.97674179 0.00712298 0.01926888 13.43673992 0.00000000 0.59323585 0.16728424 68
ang20190802t222542 69.20056152 -104.51847076 41.22316742 0.00793669 0.01924201 8.22217369 0.00000000 0.51154417 0.26166818 29
ang20190802t222542 69.18523407 -104.40060425 33.82645035 0.00722940 0.01917222 7.48114920 0.00000000 0.57389355 0.22359581 23
ang20190802t222542 69.24763489 -104.75520325 26.54957581 0.00729549 0.01918168 10.63141060 0.00000000 0.50427753 0.29788995 46
ang20190802t222542 69.22650909 -104.63681793 29.58757210 0.00717352 0.01922664 6.62961435 0.00000000 0.46932110 0.29337171 31
ang20190802t222542 69.07376099 -103.81483459 54.88727951 0.00799358 0.01904158 7.46691370 0.00000000 0.47194952 0.36243942 24
ang20190802t222542 69.28836060 -104.99292755 45.23723602 0.00707104 0.01931222 11.13102055 0.00000000 0.49868277 0.30524075 37
ang20190802t222542 69.10025787 -103.93177795 58.20343781 0.00716617 0.01910402 6.65127420 0.00000000 0.60985196 0.25623390 24
ang20190802t222542 69.30968475 -105.11195374 67.94442749 0.00735496 0.01933491 14.67860031 0.00000000 0.58020818 0.21433501 32
ang20190802t222542 69.12227631 -104.04911041 62.84925461 0.00735135 0.01933486 9.22591877 0.00000000 0.66662478 0.12340207 28
ang20190802t222542 69.32420349 -105.23100281 49.33570480 0.00788942 0.01938608 10.01073551 0.00000000 0.58909667 0.30411279 76
ang20190802t222542 69.13752747 -104.16653442 29.72457504 0.00792225 0.01903315 7.51308441 0.00000000 0.63079280 0.23583110 41
ang20190802t222542 69.34922028 -105.35036469 50.60817337 0.00704248 0.01935240 12.35758686 0.00000000 0.67482078 0.17698170 41
ang20190802t222542 69.05877686 -103.69785309 56.91810608 0.00749939 0.01901666 8.41763687 0.00000000 0.47290742 0.38050273 51
ang20190802t222542 69.26262665 -104.87427521 35.45555878 0.00798261 0.01926178 13.35686302 0.00000000 0.56515682 0.23133677 35
ang20190802t222542 69.03552246 -103.58222961 48.75225449 0.00701680 0.01914782 8.72391796 0.00000000 0.58871752 0.30235714 22
ang20190802t222542 69.00971985 -103.46613312 67.54579163 0.00782623 0.01906370 9.09848976 0.00000000 0.61202073 0.18786789 59
ang20190802t222542 69.31544495 -105.17167664 57.68043900 0.00735819 0.01926534 11.76207352 0.00000000 0.59026384 0.25052175 28
ang20190802t222542 69.11319733 -103.99064636 56.45878601 0.00788888 0.01900278 7.35338974 0.00000000 0.56956029 0.24489802 21
ang20190802t222542 69.33675385 -105.29105377 49.31250000 0.00717890 0.01929210 8.90410328 0.00000000 0.66215974 0.23263238 69
