flightline,latitude_mean,longitude_mean,elevation_mean,latitude_stdev,longitude_stdev,elevation_stdev,cloud_fraction,ndvi_mean,ndvi_stdev,dimensionality
ang20190713t002123,70.81075287,-157.6605225,19.0211277,0.00708823,0.02306362,2.98019791,0,0.44916576,0.48203504,26
ang20190713t002123,70.60987854,-157.4954071,15.01103783,0.0079258,0.02244248,2.98177409,0,0.16184939,0.56021959,26
ang20190713t002123,70.64988708,-157.5249329,14.26844978,0.00695674,0.02341307,2.87603903,0,0.43579584,0.49129727,21
ang20190707t230232,67.13257599,-162.3069763,28.55529404,0.00786702,0.01950363,17.70030594,0,0.83792073,0.27104801,26
ang20190707t230232,67.21697235,-162.4371033,62.53997421,0.00720762,0.01940385,42.64364243,0,0.80240256,0.3338418,29
ang20190707t230232,67.17974091,-162.3734436,39.4501152,0.00787038,0.01959265,37.65656281,0,0.87206513,0.16687833,57
ang20190707t230232,67.30206299,-162.5690308,45.1626091,0.00805756,0.01980023,41.90403366,0,0.81627846,0.14097923,31
ang20190707t230232,67.25489807,-162.5010681,124.5017242,0.00774879,0.01975733,64.98448944,0,0.75359851,0.20964783,44
ang20190707t230232,67.4232254,-162.7580872,9.75727558,0.00788939,0.02012479,3.44434094,0,0.76827854,0.31573269,33
ang20190707t230232,67.37767792,-162.701416,9.87409878,0.00736177,0.02027837,2.15058446,0,0.74235946,0.41173533,27
ang20190707t230232,67.50054932,-162.8877258,14.70732021,0.00721944,0.02109413,4.37846804,0,0.84307951,0.19873723,30
ang20190707t230232,67.45866394,-162.8348999,12.12084293,0.00738226,0.02061544,5.87607765,0,0.65069681,0.44001997,28
ang20190707t230232,67.33779907,-162.6295166,12.45573902,0.00725413,0.01967024,2.21571875,0,0.81661999,0.06111478,48
ang20190707t230232,67.01018524,-162.1201172,2.36482954,0.00792479,0.01946591,6.84726381,0,-0.38300219,0.45708147,74
ang20190707t230232,67.0573349,-162.1782074,16.73568153,0.0077557,0.01962994,5.82051754,0,0.81749165,0.26170757,26
ang20190707t230232,67.0951767,-162.2463684,56.46923828,0.00716939,0.01960244,18.66627121,0,0.89832932,0.03928964,40
ang20190707t230232,67.07136536,-162.2205811,31.15580559,0.00791804,0.02096598,19.65472603,0,0.8964802,0.11308172,31
ang20190707t230232,67.11862183,-162.2679291,47.92924118,0.00784765,0.02106465,19.30351067,0,0.89562756,0.03092099,31
ang20190707t230232,67.03453827,-162.1405029,25.73691368,0.00714533,0.02108932,8.00799942,0,0.86953479,0.14215583,32
ang20190707t230232,67.15592194,-162.3490601,36.10144043,0.0072079,0.02125053,47.88375092,0,0.45901933,0.60317659,33
ang20190707t230232,67.31629944,-162.6074829,11.64482212,0.00753537,0.02117898,2.52356482,0,0.69798917,0.27523598,28
ang20190707t230232,67.27765656,-162.5262604,148.870575,0.00716371,0.02131935,53.00224686,0,0.75461388,0.22599198,42
ang20190707t230232,67.24097443,-162.4777069,114.7700653,0.00789267,0.021406,91.08759308,0,0.79391748,0.25766617,37
ang20190707t230232,67.19376373,-162.3961487,57.1518631,0.00779814,0.02122488,24.40836525,0,0.90239424,0.06732366,26
ang20190707t230232,67.51900482,-162.9245911,15.4003067,0.00753473,0.02019894,5.34380913,0,0.84499812,0.23751861,17
